"fecha"	"dia"	"mes"	"ano"	"diasem"	"dem"	"temp"	"dem1"	"dem2"	"dem3"	"dem4"	"dem5"	"dem6"	"dem7"	"dem8"	"dem9"	"dem10"	"dem11"	"dem12"	"dem13"	"dem14"	"dem15"	"dem16"	"dem17"	"dem18"	"dem19"	"dem20"	"dem21"	"dem22"	"dem23"	"dem24"
20220922	22	9	2022	5	657	27.96	24067	22930	22219	21868	21737	22207	24446	27496	28502	29107	29594	29950	30454	30627	30171	29574	29616	29743	29519	29372	30866	30278	27393	25142
20220923	23	9	2022	6	651	28.1	24021	22941	22287	21932	21730	22156	24470	27318	28436	29013	29447	29976	30643	30801	30295	29449	29183	29224	28845	28539	29865	29227	26657	24623
20220924	24	9	2022	7	564	26.04	23745	22640	21675	21045	20606	20432	20924	21789	22374	23998	24987	25349	25503	25929	25350	24210	23592	23617	24029	24261	25886	25998	24036	22359
20220925	25	9	2022	1	512	23.55	21128	20011	19257	18748	18508	18503	18933	19352	19495	20679	21773	22266	22462	22959	22963	21917	21282	21157	21859	22569	24870	25247	23753	22070
20220926	26	9	2022	2	595	23.97	20969	20096	19536	19274	19160	19798	22352	25532	26767	27327	27572	27640	27945	28107	20739	26779	26616	26906	26928	27191	29292	28754	25881	23657
20220927	27	9	2022	3	623	25.8	22712	21743	21017	20686	20631	21103	23411	26359	27880	28065	28208	28324	28581	28593	28172	27487	27450	27678	27633	27937	29692	29181	26184	23848
20220928	28	9	2022	4	625	26.1	22842	21795	21115	20831	20791	21265	23624	26753	27812	28132	28193	28380	28730	28988	28654	27766	27563	27626	27521	27930	29733	29069	26160	23857
20220929	29	9	2022	5	624	23.71	22925	21977	21193	20917	20847	21277	23623	26579	27671	28213	28511	28646	29060	28874	28298	27793	27382	27564	27360	27756	29570	28555	25747	23504
20220930	30	9	2022	6	609	23.22	22550	21676	20849	20582	20532	21013	23329	26458	27435	27838	27894	27933	28341	28265	27555	26680	26291	26250	26382	26533	28251	27761	25306	23275
20221001	1	10	2022	7	545	25.64	22301	21195	20411	19968	19717	19562	20316	21320	22013	23473	24385	24386	24520	24679	24240	23159	22700	22938	23223	23661	25518	25441	23543	22034
20221002	2	10	2022	1	508	27.22	20659	19524	18915	18272	18112	18124	18521	19086	19189	20524	21642	22086	22318	22779	22680	21627	21271	21394	21932	22838	25151	25297	23738	22241
20221003	3	10	2022	2	609	28.31	20778	19752	19111	18941	19116	19835	22569	25837	27266	27535	27549	27912	28351	28786	28336	27537	27608	27516	27360	27807	29992	29248	26435	23980
20221004	4	10	2022	3	633	28	22900	21904	21230	20785	20900	21340	23658	26791	27997	28518	28692	28744	29197	29373	28764	28311	28148	28277	28225	28500	30521	29483	26570	24256
20221005	5	10	2022	4	632	27.47	22999	21951	21245	20881	20836	21410	23629	26840	27962	28366	28525	28722	29031	29155	28870	28248	28105	28126	27949	28408	30357	29331	26487	24268
20221006	6	10	2022	5	632	25.76	23317	22315	21584	21336	21415	21880	24170	27156	28436	28745	29025	29087	29469	29698	29241	28512	28287	28444	28118	28747	22879	29437	26491	24535
20221007	7	10	2022	6	630	25.99	23398	22409	21670	21163	21080	21372	23824	27038	28213	28515	28819	28979	29224	29432	28823	27918	27585	27563	27405	27723	29494	28465	25910	24002
20221008	8	10	2022	7	556	25.71	23056	21991	21102	20574	20173	19925	20294	21377	22233	23616	24492	25068	25275	25667	25052	23873	23450	23630	23708	24275	25923	25436	23572	21875
20221009	9	10	2022	1	510	26.33	20749	19796	18912	18602	18171	18231	18582	19119	19379	20535	21711	22290	22599	23151	22873	21793	21397	21449	21819	22867	25171	25006	23582	21913
20221010	10	10	2022	2	613	25.28	20840	19938	19240	18956	18985	19733	22489	25835	27418	28056	28474	28607	29006	29086	28358	27729	27609	27600	27469	28255	29966	28902	26215	23943
20221011	11	10	2022	3	621	23.43	22759	21763	20942	20528	20593	21101	23378	26463	27991	28422	28737	28771	28953	29019	28346	27677	27375	27390	27193	27824	29197	28190	25501	23366
20221012	12	10	2022	4	528	24.65	22305	21182	20238	19833	19572	19346	19515	20285	20693	21751	22830	23189	23157	23624	23257	22247	21721	21878	22134	23220	25233	24912	23499	21940
20221013	13	10	2022	5	608	26.29	20871	19916	19351	19105	19207	19935	22539	25919	27323	27546	27774	28081	28041	28044	27719	27234	27342	27419	27519	28245	30075	28909	26114	23978
20221014	14	10	2022	6	618	27.65	22677	21509	20823	20492	20384	20858	23109	26183	27715	27510	27838	28405	28679	28675	28216	27534	27439	27762	27385	28118	29348	28447	25612	23702
20221015	15	10	2022	7	539	27.64	22612	21580	20675	20134	19817	19648	20188	21209	22037	23061	23524	23467	23457	23811	23448	22429	22147	22483	23055	24180	25552	25172	23383	21818
20221016	16	10	2022	1	508	28.56	20574	19472	18640	18106	17902	17883	18366	18920	19264	20371	21460	21969	22256	22988	23122	22051	21489	21592	22023	23452	25516	25148	23555	21799
20221017	17	10	2022	2	610	27.45	20525	19685	19042	18638	18834	19571	22428	25945	27601	27945	28237	28609	28830	28776	28317	27490	27503	27596	27406	28534	30200	28868	25952	23658
20221018	18	10	2022	3	632	28.6	22541	21751	21124	20756	20826	21410	23599	26814	28411	28551	28484	28515	28910	29229	28696	28151	28095	28232	28199	29214	30713	29470	26485	24191
20221019	19	10	2022	4	637	26.81	23168	22174	21562	21195	21203	21823	24294	27545	29067	29333	29457	29572	29800	30124	22131	28835	28496	28410	28297	29314	30740	29444	26683	24667
20221020	20	10	2022	5	647	24.65	23403	22071	21371	21002	21049	21710	24022	27103	28853	29294	29507	29927	30392	30464	29936	29354	28835	28535	28593	29613	31032	29815	26772	24550
20221021	21	10	2022	6	635	24.23	23488	22449	21753	21360	21327	21875	24216	27347	29026	29212	29318	29336	29528	29542	28956	28199	27779	27571	27380	28347	29560	28364	25725	23750
20221022	22	10	2022	7	550	24.84	22583	21618	20679	20150	19904	19742	20334	21346	22463	23756	24748	24752	24722	24882	24570	23645	23044	23000	23265	24440	25721	25361	23470	21791
20221023	23	10	2022	1	518	25.01	20718	19746	18980	18572	18315	18219	18738	19379	19869	20931	22250	22822	23290	23656	23622	22415	21565	21611	22165	23870	25758	25510	23938	22099
