dia,mes,ano,diasem,dem,temp,dem1,dem2,dem3,dem4,dem5,dem6,dem7,dem8,dem9,dem10,dem11,dem12,dem13,dem14,dem15,dem16,dem17,dem18,dem19,dem20,dem21,dem22,dem23,dem24
28,3,2024,5,568,19.49,23676,22044,20924,20392,20054,20259,21280,22032,22774,23718,24272,24529,24440,24838,24794,23896,23555,23891,25003,26704,27977,27663,25778,23851
29,3,2024,6,529,17.77,22298,20812,19815,19059,18807,19028,19392,19342,19983,21265,22373,22859,23088,23270,23224,22357,21834,21858,22940,24707,26268,26294,24920,23179
30,3,2024,7,543,16.18,21844,20445,19380,18764,18565,18746,19402,19791,20630,21983,23010,23358,23586,24259,24397,23486,23328,23632,24342,25925,27510,27365,25547,23460
31,3,2024,1,531,15.77,21834,20137,19628,18992,18340,18263,18605,19187,19366,20558,22023,23233,24016,24309,24091,23084,22249,22143,22368,23555,26063,27926,26525,24113
1,4,2024,2,557,17.65,21759,19982,18955,18340,18242,18651,20438,22965,24420,24977,24839,24195,23746,23577,23523,22805,22059,22280,23286,25269,28245,30435,28444,25749
2,4,2024,3,646,18.64,23647,22043,21004,20547,20480,21204,24229,28051,30042,30165,29730,29158,28749,28204,27908,27279,27097,27715,28060,29181,31641,32802,30198,27253
3,4,2024,4,641,22.12,25267,23532,22337,21755,21582,22301,25035,28585,30346,30261,29440,28259,27792,27678,27093,26013,25393,25823,26477,27940,30426,31961,29424,26532
4,4,2024,5,628,23.56,24585,23145,22289,21888,21792,22615,25031,28363,29730,29370,28182,27017,26242,25807,25225,24805,24728,25483,26211,27874,30244,31645,29144,26240
5,4,2024,6,617,25.66,24539,23180,21896,21238,21253,21926,24485,27901,29347,29068,28407,27506,26947,26172,25679,24554,24172,24564,25586,26815,28645,29670,27609,25406
6,4,2024,7,548,24.82,23832,22319,21232,20415,20136,20026,20513,21526,22464,23523,24129,23743,23669,23340,22901,21935,21530,21772,22886,24114,25864,27151,25526,23753
7,4,2024,1,516,23.56,22280,20861,19810,18923,18544,18467,18854,19529,19763,21021,21924,22248,22371,22166,21757,20105,19565,20584,21557,23186,25432,27121,25857,23900
8,4,2024,2,605,22.32,22322,20944,20163,19647,19629,20358,23140,26520,27919,28056,27749,26690,26480,26393,25909,25232,25337,25533,26105,27422,29562,30523,27877,25001
9,4,2024,3,607,18.54,23071,21824,20909,20413,20367,21200,23692,27501,28957,28333,27055,26463,25925,25674,25088,24243,23807,24377,25449,27402,29968,31096,28418,25829
10,4,2024,4,616,20.85,24307,22933,22078,21718,21474,22276,24965,28516,29898,29211,27718,26424,25616,25260,24739,23993,23825,24266,25348,27086,29405,30781,28232,25470
11,4,2024,5,614,23.23,23839,22508,21626,21209,21033,21726,24342,27722,29238,28763,27480,26325,25894,25580,24937,24515,24167,25115,26051,27544,29504,30828,28374,25959
12,4,2024,6,614,25.24,24416,23244,22336,21960,21854,22501,25037,28124,29158,28912,27651,26753,26086,25686,24694,24120,24485,25188,25614,26961,27892,29278,27130,24812
13,4,2024,7,539,26.8,23897,22602,21627,20980,20643,20452,21040,21830,22843,23769,23594,22604,22150,22129,21531,20512,20019,20871,22389,23972,24722,26351,25023,23229
14,4,2024,1,497,26.77,21798,20448,19490,18967,18659,18693,19162,19478,19790,20051,20341,20168,19922,20105,19941,18818,18442,19175,20362,22487,24542,26772,25678,23561
15,4,2024,2,601,25.06,22094,20984,20194,19758,19619,20437,23339,26571,27858,27710,27211,26281,26278,26410,25730,24711,24282,25271,25820,27480,29276,30628,28003,25248
16,4,2024,3,616,23.69,23801,22638,21590,21184,20899,21751,24323,27324,28473,27916,27366,26791,26387,26228,25827,25099,24848,25455,26330,27816,29686,30742,27910,25202
17,4,2024,4,609,20.96,23817,22693,21841,21487,21379,21912,24317,27293,28350,27866,26892,26128,25727,25580,25047,24335,24099,24849,25736,27114,29161,30219,27665,25000
18,4,2024,5,613,21.05,23835,22590,21732,21258,21255,21982,24382,27307,28255,27763,26913,26336,26010,25832,25227,24690,24441,25301,26049,27426,29276,30827,28252,25639
19,4,2024,6,619,21.58,24244,23126,22199,21799,21599,22198,24654,27765,28904,28822,28263,27678,27117,26710,25969,24914,24537,25016,25745,27062,28195,29456,27397,25200
20,4,2024,7,545,21.9,23817,22395,21334,20860,20476,20400,21223,21965,22845,23817,23978,23542,23094,23145,22432,21503,20880,21312,22282,23336,24922,26778,25305,23529
21,4,2024,1,500,21.08,21793,20483,19453,18946,18662,18552,19012,19302,19742,20733,20977,20957,20470,20305,19967,18780,18557,19275,20540,22457,24700,26642,25717,23721
22,4,2024,2,597,19.28,22076,20783,20044,19643,19639,20431,23210,26452,27763,27635,26890,26004,25530,25409,25088,24566,24343,24813,25704,27301,29352,30712,28318,25547
23,4,2024,3,620,18.29,23919,22731,21686,21436,21217,21848,24289,27013,28164,27875,27203,26669,26381,26512,26184,25807,25432,25795,26321,27683,29780,31221,28708,25883
24,4,2024,4,628,19.52,24203,22800,21972,21588,21591,22242,24862,28038,29217,28941,28145,27491,27050,26894,26224,25562,25106,25702,26475,28015,29817,31159,28615,25895
25,4,2024,5,646,20.04,24308,23064,22185,21886,21894,22489,24997,27724,29315,29543,29220,28937,28613,28527,28307,27679,27436,27807,27857,28925,30063,30882,28547,25937
26,4,2024,6,632,19.6,24469,23178,22375,21976,21881,22341,24735,27369,28621,28846,28372,27801,27846,27953,27377,26630,26322,26524,26924,27898,29076,30039,27808,25696
27,4,2024,7,567,19.89,24411,22918,21796,21254,20911,20724,21344,21996,23376,25016,25801,25681,25471,25540,24492,23339,22579,22425,23139,23891,25096,26798,25515,23631
28,4,2024,1,525,19.3,22058,20708,19643,19047,18895,18963,19213,19341,19924,21362,22251,22674,22931,23357,22963,21569,20951,21236,22491,23481,25008,27117,26170,24042
29,4,2024,2,629,18.78,22307,20928,20041,19807,19740,20432,23505,26753,28422,29106,29335,29313,28872,29021,28712,27986,27541,27804,27738,28217,29493,30435,28064,25196
30,4,2024,3,621,21.2,23269,21995,21043,20627,20643,21331,23965,26979,28712,28951,28498,27958,27546,27534,27283,26853,26428,26495,26594,27425,28575,29552,27418,24916
1,5,2024,4,521,18.3,23214,21815,20668,19954,19642,19324,19432,19567,20161,21522,22068,22200,22493,22796,22402,20784,19949,20258,21023,22544,24308,26329,25541,23338
2,5,2024,5,589,19.83,21532,20294,19535,19223,19263,19888,22533,25130,26515,26659,26264,25897,25624,25711,25449,25310,25091,24994,25373,26486,28494,30310,28246,25363
3,5,2024,6,607,22.17,23714,22372,21375,20902,20801,21351,23667,26167,27457,27444,27192,26728,26471,26414,25855,25312,24946,25237,25836,26693,27925,29397,27764,25559
4,5,2024,7,547,25.82,24037,22477,21249,20661,20462,20491,21151,21567,22668,23813,24344,24027,23387,23318,22716,21544,21080,21397,22491,23680,24939,26546,25671,23727
5,5,2024,1,516,25.22,22194,20820,19815,19294,18893,18852,19214,19044,19713,20964,21833,21913,21922,22004,21455,20369,20649,21245,22263,23319,24696,26603,25599,23556
6,5,2024,2,605,22.84,21992,20596,19970,19634,19584,20204,22949,26002,27712,27917,27692,27339,27085,27203,26653,26234,25717,25843,25986,26963,28641,29930,27933,25196
7,5,2024,3,607,23,23347,22146,21353,20914,20950,21433,23904,26596,27707,27485,26757,25386,25663,26179,25849,25131,24696,25278,26173,27172,28705,30273,28213,25570
8,5,2024,4,618,24.42,23811,22787,21927,21327,21273,21985,24498,27058,28032,27995,27381,26763,26762,26814,26314,25714,25524,25918,26397,27332,28824,29910,27825,25439
9,5,2024,5,618,25.94,24278,22921,21909,21564,21470,21978,24431,26930,27964,27739,27224,26648,26650,26782,26379,25853,25694,25977,26466,27531,28735,29761,27888,25489
10,5,2024,6,606,27.45,24120,22861,21940,21534,21429,21884,24018,26318,27455,27480,26933,26630,26277,25963,25469,24858,24947,25495,26117,26853,27639,28410,26960,24808
11,5,2024,7,538,26.56,23646,22325,21209,20613,20270,20085,20485,20974,22103,23282,23707,23334,22729,22748,22079,21067,20592,21812,22709,23747,24561,25917,24997,23168
12,5,2024,1,501,25.6,21717,20438,19466,18984,18735,18622,18796,18777,19224,20226,20868,20806,20698,20976,20711,19697,19277,20244,21564,22523,23925,25782,25238,23226
13,5,2024,2,605,26.62,21745,20570,19810,19507,19506,20288,22951,25522,27038,27216,26868,26736,26582,26760,26386,25992,26169,26857,27296,28218,29252,30076,28107,25475
14,5,2024,3,622,23.44,24130,22926,21997,21722,21498,21987,24210,26548,28081,28409,28152,27661,27653,27413,26628,25572,25353,25956,26583,27676,28884,29726,27774,25277
15,5,2024,4,612,21.76,24103,22759,21870,21490,21243,21784,23756,25898,27158,27568,27430,27169,27130,26927,26427,25730,25232,25424,25938,27013,28306,29209,27607,25094
16,5,2024,5,619,22.58,23635,22339,21622,21373,21277,21685,24082,26481,27783,27586,27262,27314,27429,27447,26995,26231,26180,26295,26529,27395,28729,29751,27992,25537
17,5,2024,6,610,23.19,24090,22879,21969,21648,21508,21908,23845,26250,27474,27622,27441,27116,27236,27052,26646,25545,25149,25342,25791,26547,27182,28258,26964,24882
18,5,2024,7,543,23.24,23601,22295,21294,20670,20379,20249,20663,21137,22352,23528,23860,23820,23616,23471,23075,21870,21646,21753,22496,23283,24110,25612,24984,23134
19,5,2024,1,505,22.39,21665,20312,19363,18835,18543,18580,18755,18666,19278,20304,21141,21288,21610,21953,21574,20211,19634,21024,21621,22691,23869,25576,25265,23189
20,5,2024,2,593,22.98,21795,20571,19763,19552,19533,20192,22562,25130,26471,26757,26455,26093,26378,26735,26258,25396,25151,25436,25918,26831,27926,29305,27669,25013
21,5,2024,3,610,23.35,23408,22180,21306,20986,20881,21454,23582,26145,27283,27177,26818,26641,26817,27084,26698,25870,25613,26116,26595,27285,28297,29403,27721,25110
22,5,2024,4,615,24.01,23656,22391,21507,21247,21241,21761,23948,26537,27776,27718,27444,27086,27009,27169,26980,26211,25840,26095,26470,27654,28842,28899,27318,24684
23,5,2024,5,616,23.5,23484,22516,21676,21336,21336,21976,24109,26435,27562,27566,27144,26697,26629,26761,26379,25624,25566,26131,26705,27767,28877,29639,28059,25596
24,5,2024,6,611,25.36,23939,22718,21927,21538,21502,22025,23826,26296,27578,27725,27384,27100,26938,26694,26102,25446,25086,25684,26134,26829,27676,28430,27446,25280
25,5,2024,7,544,27.45,23834,22489,21532,20886,20542,20361,20643,21202,22317,23229,23736,23522,23506,23331,22743,21877,21329,21877,22739,23610,24495,25612,25133,23473
26,5,2024,1,501,26.96,21871,20475,19576,19026,18610,18593,18628,18559,19220,20161,20550,20624,20638,21012,20968,19670,19315,20023,21601,22801,24031,25750,25733,23653
